time,streamflow
2014-09-06 13:00:00,87.33999804779887
2014-09-06 14:00:00,87.33999804779887
2014-09-06 15:00:00,87.34999804757535
2014-09-06 16:00:00,87.34999804757535
2014-09-06 17:00:00,87.35999804735184
2014-09-06 18:00:00,87.35999804735184
2014-09-06 19:00:00,87.36999804712832
2014-09-06 20:00:00,87.3799980469048
2014-09-06 21:00:00,87.38999804668128
2014-09-06 22:00:00,87.39999804645777
2014-09-06 23:00:00,87.41999804601073
2014-09-07 00:00:00,87.4399980455637
2014-09-07 01:00:00,87.45999804511666
2014-09-07 02:00:00,87.48999804444611
2014-09-07 03:00:00,87.50999804399908
2014-09-07 04:00:00,87.53999804332852
2014-09-07 05:00:00,87.57999804243445
2014-09-07 06:00:00,87.6099980417639
2014-09-07 07:00:00,87.64999804086983
